15:08:32.070 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.070 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.070 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.070 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.071 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.071 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.071 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.071 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.072 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.072 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.072 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.072 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.072 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.073 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.073 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.073 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.074 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.074 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.074 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.074 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.075 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.075 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.075 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.075 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.076 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.076 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.076 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.077 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.077 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.077 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.077 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.078 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.078 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.078 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.078 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.078 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.079 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.079 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.079 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.079 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.080 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.080 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.080 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.080 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.081 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.081 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.081 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.081 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.082 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.082 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.082 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.082 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.082 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.083 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.083 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.083 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.084 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.084 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.084 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.085 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.085 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.085 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
15:08:32.085 [main] INFO  o.f.c.i.s.DefaultSqlScriptExecutor - 1 rows affected
